schomburgk_line_title;The Schomburgk Line;;;;;;;;;;;;;
HOWWOULDYOUWINSRNTHIS;\n\nOur great army has managed to overpower the Qajar Dynasty, and we now own the whole of their claim in Kurdistan. This victory is not the first or the last victory we will have against them, but we now must center our efforts further west and south.;;;;;;;;;;;;;
WELLSORANOWNSKORDESTANNOW;\n\nWe have been defeated in our war against the Soran Emirate after numerous blunders in the battlefield and the betrayal of our Kurdish community. We have no choice but to accept defeat and wait for the day we can regain these lost lands.;;;;;;;;;;;;;
soran_je_ottoman_title;The Subjugation of Soran;;;;;;;;;;;;;
soran_je_ottoman_desc;While the Emirate of Soran has been driven back, the Emir still poses a threat to the region's stability. Letting his rule continue despite his rebellious actions may inspire other Kurdish chiefs to do the same.;;;;;;;;;;;;;
fund_french_settlement_in_algeria_title;Funding French Settlers in Algeria;;;;;;;;;;;;;
fund_french_settlement_in_algeria_desc;Although our New World colonies are gone, our settler-colonial ventures are not yet over, still going strong in Algeria. But more often than not, these settlers will need a considerable amount of funding to ensure their livelihood in the new land. Thus, as the mother nation, it is seen as our duty to provide for their needs. The question is how much money we shall offer them, if at all.;;;;;;;;;;;;;
RGADEADAF;\n\nWith our newfound victory over the Algerians, we must continue the fight against the tribesmen who are holding out, rallying in the hinterland against colonial rule. Hussein Bey, the former ruler of Algeria has gone into exile in Naples as the populace has lost all confidence in his rule due to his defeat. In the East, Ahmed Bey ben Mohamed Sherif, the Bey of Constantine, has now claimed to be Hussein Bey's legitimate successor as ruler of Algeria. In this power vacuum, a new figure has emerged: Abdelkader ibn Muhieddine, a minor sharif and islamic scholar has rallied the tribes to resist us in unison. We know, however that such backwards, unorganized rabble cannot stop us! Soon, all of Algeria shall be ours! Vive la France!;;;;;;;;;;;;;
RGADEADAFRGA;\n\nDue to our calamitous defeat at the hands of the French and the loss of our capital, Algiers, the government has collapsed. Hussein Bey, the regent of Algiers, has gone into exile in Naples, having lost all vestiges of popular support. In the East, Ahmed Bey ben Mohamed Sherif, the Bey of Constantine, has now claimed to be Hussein Bey's legitimate successor as ruler of Algeria, pledging to drive out the French. In the rest of the former Bey's domains, a new leader has emerged: Abd al-Qadir ibn Muhyi al-Din, also known as Emir Abdelkader, an Islamic scholar and Sufi, has become both the religious and military leader of most of Algeria. Taking advantage of the power vacuum left by the fleeing Bey, Abdelkader has been elected as Amir al-Mu'minin or Emir by the disparate tribes of Algeria to unite them against their common foe: The French. Who will prevail remains to be seen.;;;;;;;;;;;;;
FRANCETROLLED;\n\nFrance has pathetically attempted to conquer our great nation, and they have failed, as they had failed in Egypt in 1800, Haiti in 1804, and Russia in 1812. It is time to choose to either move forward as an independent nation or reapproach the Ottoman Empire for protection.;;;;;;;;;;;;;
ANDOURENA;\n\nIt is time to decide our policy of on the new settlers in Algeria and what they shall receive from the French state.;;;;;;;;;;;;;
TUZCUOGLUREVOLTS;\n\nA rebellion has risen within the Sanjak of Lazistan, resisting the installment of derebeys--local governors--who are cruel and care most about consolidating Ottoman control. This comes as a result of a blood feud between the Hazinedaroglu and Tuzcuoglu families, both of whom have vied for control of Lazistan as derebeys. Derebey Adjara Osman Hazinedaroglu has used his authority to levy large taxes on his subjects, which contributed to food scarcity in 1829 and 1830. Locals have now begun to stop paying taxes and rebel, with rival Derebey Tahir Aga Tuzcuoglu as their leader. We cannot allow Tuzcuoglu to continue his defiance. We must put an end to the rabble.;;;;;;;;;;;;;
TUZCUOGLUREVOLTSPONTUS;\n\nInspired by our victory, the Pontic Greeks have decided to rise up against the Ottoman Empire. The time has come to join them as brothers in arms against the Ottoman oppressors, as we can only defeat them together.;;;;;;;;;;;;;
TUZCUOGLUREVOLTSPONTUSTUR;\n\nInspired by the Lazi victory, the Pontic Greeks have decided to rise up against us. We must end this revolt and put an end to rebellions in the Pontic lands.;;;;;;;;;;;;;
TUZCUOGLUCRUSHED;Lazistan has been pacified and plundered by our army. With the Tuzcuoglu family removed from power, we can tighten our grip on the province and ensure its governors will be unconditionally loyal to us.;;;;;;;;;;;;;
AGRESSION_WAR_NAME_PLS_EGY;The Peasants' revolt in Palestine;;;;;;;;;;;;;
NORMAL_WAR_NAME_PLS_EGY;The Peasants' Revolt in Palestine;;;;;;;;;;;;;
AGRESSION_WAR_NAME_ALA_EGY;The Alawite Revolt;;;;;;;;;;;;;
NORMAL_WAR_NAME_ALA_EGY;The Alawite Revolt;;;;;;;;;;;;;
AGRESSION_WAR_CONQUEST_ANY_NAME_TUR_MLW;The Laz Uprising;;;;;;;;;;;;;
NORMAL_WAR_CONQUEST_ANY_NAME_TUR_MLW;The Laz Uprising;;;;;;;;;;;;;
AGRESSION_WAR_CONQUEST_ANY_NAME_TUR_PNT;The Pontic Uprising;;;;;;;;;;;;;
NORMAL_WAR_CONQUEST_ANY_NAME_TUR_PNT;The Pontic Uprising;;;;;;;;;;;;;
uruguay_const_1830_title;The Uruguayan Constitution of $YEAR$;;;;;;;;;;;;;
uruguay_const_1830_desc;Inspired by the liberal ideas of the American and French revolutionaries, calls for a constitution firmly establishing Uruguay as a representative democracy are echoing within the government. Under this constitution, Uruguay will be represented by a president and a two-chamber legislative branch consisting of the Chamber of Representatives and the Chamber of Senators. Meanwhile, supreme legal power will be put in the hands of the Supreme Court of Justice. The constitution will also strengthen the federal government's authority--so much so that our country will be considered a unitary republic. Nevertheless, the constitution's passing will be a firm, welcomed step in the direction toward equality and justice.;;;;;;;;;;;;;
anglo_ashanti_treaty_title;The Anglo-Ashanti Treaty;;;;;;;;;;;;;
anglo_ashanti_treaty_desc;Border conflicts with the Ashanti Empire have been a constant occurrence since we first established our colony on the Gold Coast. With it obvious, though, that the Ashanti cannot fully repel our troops and retake that land, perhaps we should send them an ultimatum. We shall force an agreement that our borders will lie on the opposite banks of the Pra River, the natural boundary of the Gold Coast colony. Of course, there's nothing stopping us from eventually breaking this treaty and conquering them entirely.;;;;;;;;;;;;;
EVTDESC16051835;\n\nBorder_conflicts_with_the_British_are_continuing_with_no_end_in_sight,_lest_one_of_us_falls_entirely_or_agrees_to_peace_terms._Britain_has_come_to_us_with_an_ultimatum:_that_we_recognize_their_sovereignty_over_the_Gold_Coast_colony_and_share_a_natural_border_along_the_Pra_River._This_will_put_us_at_peace_for_the_meantime_and,_unfortunately,_leave_our_brethren_on_the_coast_at_Britain's_whim._But_war_is_tiring,_and_we've_certainly_had_our_share_of_it.;;;;;;;;;;;;;
EVTDESC16051836;\n\nThe_Ashanti_have_accepted_our_peace_offer._We_can_lay_down_our_arms_and_rest_assured_that_the_next_time_we_go_to_war_with_them,_they_will_stand_no_chance.;;;;;;;;;;;;;
EVTDESC16051837;\n\nOur_peace_offer_to_the_Ashanti_Empire_is_dead_in_the_water._If_we_ever_felt_guilt_over_killing_these_poor_tribespeople--well,_think_back_to_how_they_turned_Colonel_Governor_McCarthy's_skull_into_a_gold-plated_drinking_cup._Now_we_can_look_forward_to_drinking_wine_aplenty_from_their_skulls.;;;;;;;;;;;;;
romania_semiconst_1831_title;The Regulamentul Organic;;;;;;;;;;;;;
romania_semiconst_1831_desc;While the Romanian principalities of Wallachia and Moladvia are Ottoman vassals, we have retained garrisons in them since the war of 1828-29. The populace is becoming increasingly resentful of this, especially as we have confiscated Wallachia and Moldavia's treasuries for the time being. It is up to us to shape their governments for the better and hand them back control over their finances. The proposed Organic Regulation would form the organic law, or legal system forming the basis of government, of the principalities. It would establish a national assembly in Iasi and Bucharest elected by no more than 3000 of the most influential citizens. Furthermore, the Organic Regulation would, among other things, ensure the independence of the judiciary and establish a poll tax in place of the old indirect taxes.;;;;;;;;;;;;;
REGULAMENTULORGANIC;\n\nRussia has imposed a legal system forming the basis of government on us:  the so-called Regulamentul Organic, or "Organic Regulation." This semi-constitutional document returns to us the Russian-confiscated treasury, establishes a national assembly elected by the three thousand most influential citizens, ensures the independence of the judiciary and replaces the old indirect taxes with a poll tax among many other reforms.;;;;;;;;;;;;;
REFORMISTREVOLUTION;\n\nThe government of José María Vargas has become opposed by a growing movement for the restoration of Gran Colombia. The rebels are led by heroes of the war of independence, including Santiago Mariño, Diego Ibarra and José Laurencio Silva, all formerly loyalists to the Bolivarian cause. They have rallied their forces in the city of Maracaibo and begun marching East to take Caracas. Now, in turn, José Antonio Páez, the man who split Venezuela from Gran Colombia and spelled its doom has returned from retirement and assembled militia to join the struggle on the government's side. It seems that the old rivalry between proponents and detractors of Gran Colombia is to play out one final time--on the battlefield.;;;;;;;;;;;;;
peru_const_1834_title;The Peruvian Constitution of $YEAR$;;;;;;;;;;;;;
peru_const_1834_desc;Now that the Bermudists have been defeated, we can finally set about finishing the new constitution. The proposed draft mostly reiterates the 1828 constitution and follows its liberal spirit but makes some adjustments to combat instability which has been experienced since. For example, the post of vice-president would be removed due to the bad contact of former VP Antonio Gutiérrez de la Fuente. Another example is the prohibition of immediate presidential reelection, a tactic used by Augustín Gamarra to elongate his presidency.;;;;;;;;;;;;;
CONSTITUTIONALCONGRESSPRU;\n\nThe 1828 Constitution had agreed that in 1833, five years later, a new constitution would be formulated to adapt to the new situation of our country and possibly implement a federal system. Thus, a constitutional congress has gathered and heald a vote to elect a provisional president until the new constitution is finished. Pretenders for the position were the liberal Luis José de Obregoso, the conservative Pedro Pablo Bermúdez and the independent Domingo Nieto. Obregoso won with 47 votes to Bermúdez's 36 and Nieto's 1.;;;;;;;;;;;;;
CONSTITUTIONALCIVILWAR;\n\nPedro Pablo Bermúdez has rejected the result of the constitutional convention's election of José de Obregoso and risen up in revolt, beginning a civil war. While Bermúdez enjoys the support of most of the army, the populace of Lima and Arequipa are on the side of Obregoso, forcing Bermudist troops to retreat from the cities, unable to capture them with the adamant opposition of the populace.;;;;;;;;;;;;;
MAQUINHUAYOEMBRACE;\n\nThe civil war has been divided along three fronts: The Orbegosista General Domingo Nieto faced off against the Bermudista General Miguel de San Romám in the South, General Felipe Santiago Salaverry fought General Francisco de Vidal in the North and General Luis José de Orbegoso battled General Pedro Bermúdez himself in the central mountains east of Lima. After a number of minor skirmishes over the past few months, the Bermudista officers have lost morale. Without popular support, they have recognized that theirs is a lost cause, and decided to depose Berm?dez from the leadership of the rebel army. Upon reaching the Maquinhuayo Plain, the former Bermudista forces then encountered the Orbegosistas, who had entered a battle formation. To the surprise of the Orbegosistas, the former Bermudistas laid down their arms, whereupon both armies met each other and the soldiers clasped in a fraternal embrace. The civil war is over, and Peru is once again at peace.;;;;;;;;;;;;;
eventtwo_bermudists;The Civil War of 1834;;;;;;;;;;;;;
belgium_const_1831_title;The Belgian Constitution;;;;;;;;;;;;;
belgium_const_1831_desc;Belgium's existence is extraordinary, considering how divided along linguistic and cultural lines our two major ethnic groups are. Nevertheless, it is our duty to consolidate our brand-new nation, uniting the Flemish, the Walloons and the small German minority. We shall create a constitutional monarchy, a compromise between liberals and the conservatives. The state will have three branches of government and afford privileges to the Catholic Church. Basic freedoms such as that of expression, worship, and the press will be guaranteed. However, only landed subjects will be able to vote.;;;;;;;;;;;;;
BELGIANANTHEM;\n\nThe lyrics of La Brabançonne, a song that has become a rallying cry for Belgian nationalism, were written by a French mercenary serving in Brussels who died in action. The first version of the lyrics originally scolded rioters and claimed that the Dutch Prince of Orange would be an "example for kings" and a "father to Belgium" if he granted Belgium independence. However, following the bombardment of Antwerp, the lyrics were altered to condemn the Dutch for their brutality. François van Campenhout set the second version to the tune of "L'Air des lancers polonais" ("Song of the Polish Lancers"), and it was an immediate success.;;;;;;;;;;;;;
BELGIUMATELUX;\n\nThe people of the Duchy of Luxembourg have also joined the struggle for Belgian independence. However, the fortress-city capital of the province itself remains under Dutch control.;;;;;;;;;;;;;
BELGIUMNEEDSAKING;\n\nThe National Congress has decided that Belgium should be a constitutional monarchy, and so the country needs a king. Anti-Dutch sentiment has ruled out any candidate from the House of Nassau, which is the dynasty of the Dutch king. Supporters of a closer connection with France have proposed the Duke of Nemours, who is the second son of the French King. The candidacy of the Duke of Nemours, however, makes the other great powers uneasy, as it undermines the usefulness of Belgium as a barrier against the French. The British have instead suggested Prince Leopold of Saxe-Coburg as a more neutral option. Other candidates being considered include Duke Auguste of Leuchtenberg, a Bonapartist, and Prince Otho of Bavaria. Our representatives at the ongoing Congress of London report that the Congress prefers Leopold, and choosing otherwise may try the patience of the great powers involved.;;;;;;;;;;;;;
BELGIUMNEEDSAKINGBOR;\n\nThe National Congress has decided that Belgium should be a constitutional monarchy, which means that the country needs a king. Current anti-Dutch sentiment has ruled out any candidate from the House of Nassau, which is the dynasty of the Dutch king. The most popular candidate is Prince Leopold of Saxe-Coburg. Leopold had previously been offered the Greek throne, which he rejected over concerns that the Greeks were not being treated fairly. Other candidates being considered include Duke Auguste of Leuchtenberg, a Bonapartist, and Prince Otho of Bavaria.;;;;;;;;;;;;;
BELGIUMNEEDSAKINGFRANCE;\n\nBelgium has sent us an emissary to propose the coronation of the Duke of Nemours, son of king Louis-Philippe as king of Belgium. While this would give us much influence over Belgium, it would surely attract the ire of the British and Prussians. Additionally, Belgium's industry, which is larger than ours, would, by increased interaction with our economy, hurt French artisans.;;;;;;;;;;;;;
BELGIUMNEEDSAKINGFRBEL;\n\nKing Louis-Philippe has given the go-ahead to the coronation of the Duke of Nemours. Celebrations have begun amid his arrival in Brussels. Belgium finally has a king, and a popular one at that!;;;;;;;;;;;;;
BELGIUMNEEDSABONKFR;\n\nThe Duke of Nemours, son of king Louis-Philippe of France, has been crowned king of Belgium at the bequest of the provisional government. This act spreads the influence of the French revolution further throughout Europe and endangers the old order. With the Louis-Philippe's son on the throne, Belgium is now a French protectorate in all but name.;;;;;;;;;;;;;
BELGIUMNEEDSAKINGFRNO;\n\nLouis-Philippe has refused to let his son become king of France. The reason he gives for this is twofold: On the one hand, he does not wish to raise the ire of the other European powers, specifically Prussia and the UK, by extending his influence. On the other hand, Belgium's industry far outmatches France's and economic intermingling between the two would hurt French artisans.;;;;;;;;;;;;;
BELGIUMNEEDSAKINGBRIISH;\n\nBelgium has sent us an emissary proposing the coronation of Leopold of Saxe-Coburg-Gotha as their king. While it would definitely increase our influence on Belgium, we would get mixed up in their ongoing conflict with the Dutch. An agreement called the "Treaty of the Eighteen Articles" has been proposed which would agree to the coronation of Leopold under the condition that the matters of Limburg and Luxembourg are for Britain to decide.;;;;;;;;;;;;;
BELGIUMNEEDSAKINGFRNOBLE;\n\nThe British have outright refused to let Leopold of Saxe-Coburg-Gotha become our king, wanting to have nothing to do with our revolutionary state.;;;;;;;;;;;;;
BELGIUMNEEDSAKINGENGYES;\n\nThe British have given the OK to the coronation of Leopold of Saxe-Coburg-Gotha. He has already arrived in Brussels amid much jubilation. Belgium finally has a king, and a popular one at that!;;;;;;;;;;;;;
BELGIUMAKINGENGTROLL;\n\nThe British have agreed to have Leopold be crowned king of Belgium. However, they have demanded that we first sign the so-called "Treaty of the Eighteen Articles." This document would give Britain ultimate authority to decide the fate of Limburg and Luxembourg.;;;;;;;;;;;;;
BELGIUMAKINGENGTROLLYES;\n\nBelgium has agreed to sign the Treaty of the Eighteen Articles in faith that we will make a fair judgment over the issue of Limburg and Luxembourg. Leopold of Saxe-Coburg-Gotha will, after all, be king of Belgium.;;;;;;;;;;;;;
BELGIUMAKINGENGTROLLYNO;\n\nBelgium has refused to sign the Treaty of the Eighteen Articles, for they lack faith that we will make a fair judgment over the issue of Limburg and Luxembourg. Leopold of Saxe-Coburg-Gotha will not, after all, be king of Belgium.;;;;;;;;;;;;;
BELGIUMINDEPENDENCE;\n\nEven after the southern provinces had become de facto independent, the Dutch King still hoped for a diplomatic solution that would lessen the blow of losing them. He appointed Prince William as governor of the southern provinces at the beginning of the month and empowered him to form an independent administration there. The experiment was to end within that same month. Few Belgians took the authority of Prince William seriously, and when at the end of the month General Chassé reacted to a disturbance in Antwerp by bombarding the city, the people were galvanized against Dutch rule. Delegates were sent to the national conference at the beginning of the following month with a mandate to cut ties with the House of Orange, and two weeks later the provisional government declared the independence of Belgium. It remains to be seen whether the ongoing Congress of London about the Belgian situation will recognize the new state.;;;;;;;;;;;;;
SEPTEMBERDAYS;\n\nIt had seemed that Prince Frederick and his 12,000-strong army would soon restore order to Brussels. The leaders of the revolution had fled the city, and a number of the notable burghers had promised their support. And yet, the city still resisted the prince. Upon entry, soldiers were met in some quarters with stones and bricks thrown from rooftops, and with sniper fire in others. They managed to secure much of the northern city on the first day, advancing as far as the Parc, but there the advance stalled. While the army could have brought the city to heel by bombardment and house-to-house fighting, doing so would have been a bloody affair. Prince Frederick was unwilling to conclude what had been intended as a police action with a massacre, and so, after three days of intermittent skirmishing, he withdrew from the city. The revolutionaries claim this as a great victory and have called for an uprising across the southern provinces.;;;;;;;;;;;;;
BRUSSELSRIOTS;\n\nThe hard winter of the previous year, combined with the general economic downturn, has increased existing tensions between the northern and southern provinces. Differences in religion and language, as well as the government's preference for the north, have long created a rift between the two parts of the nation, and the grievances of the southern provinces are published nearly daily in the 'Courrier des Pays-Bas'. This dissatisfaction finally found an expression outside of the pages of a newspaper following a performance in Brussels of 'La Muette de Portici', an opera about the Neapolitan revolution. Attendees leaving after act four precipitated turning an already-agitated crowd outside into a riot, which then spread throughout the city unchecked for two days. Order was eventually restored by an unofficial 'burgher guard'. However, far from ending the trouble, this new force has turned into a revolutionary committee, refuses to allow the military to enter Brussels, and is now demanding a separation between the northern and southern provinces.;;;;;;;;;;;;;
THEFLAHAUTPLANENG;\n\nFrance has proposed that we partition Belgium instead of recognizing it. We would receive Ghent and Antwerp, while France would get Wallonia and Brussels, Prussia would be given Luxemburg and Liège, and the Dutch would receive Limburg and Hasselt. Antwerp's port would be the most likely to be used to launch an invasion of our isles with its large, close port. Thus, its control would be immensely beneficial to our defense.;;;;;;;;;;;;;
THEFLAHAUTPLANPRU;\n\nFrance has proposed that we partition Belgium instead of recognizing it. We would receive Luxemburg and Liège, while France would get Wallonia and Brussels, the UK would be given Ghent and Antwerp, and the Dutch would receive Limburg and Hasselt. Luxemburg and Liège have a large German population that would gladly join us in the future pursuit of German unification. The area is also rich in coal and iron.;;;;;;;;;;;;;
THEFLAHAUTPLANFAILS;\n\nOther powers in Europe have refused to agree to the Flahaut plan, denouncing it as unjust to the Belgian cause and unfairly imbalanced to favor us. Thus, without support of the others, the plan cannot go ahead.;;;;;;;;;;;;;
THEFLAHAUTPLANSUCCEEDS;\n\nWith the other powers enthusiastically agreeing, Belgium is soon to be no more. As they have no chance against our combined might, the partition is already proceeding without opposition.;;;;;;;;;;;;;
THEFLAHAUTPLANSUCCEEDSBEL;\n\nFrance, the UK, Prussia and the Netherlands have agreed to partition us in the so-called Flahaut Plan. Faced with the might of all Western European great powers working together, we have no choice but to surrender.;;;;;;;;;;;;;
THEFLAHAUTPLANSUCCEEDSNET;\n\nFrance, the UK and Prussia have worked out a deal to partition Belgium in the so-called Flahaut Plan. Faced with the might of all Western European great powers working together, Belgium has no choice but to surrender. We will receive Limburg and Hasselt--a fraction of the territory lost, but still better than nothing.;;;;;;;;;;;;;
flauhaut_plan_title;The Flahaut Plan;;;;;;;;;;;;;
flauhaut_plan_desc;Belgium has no right to exist. Its people speak Dutch, French and German, an amalgamation utterly undeserving of a nation-state of its own. Therefore, it would be best to divide its lands. With us receiving Wallonia and Brussels, Prussia getting Luxembourg and Liège, the UK being given Antwerp and Ghent, and the Netherlands receiving Limburg and Hasselt, the Western European great powers would surely all be on board.;;;;;;;;;;;;;
ASSAMQUESTION;\n\nThe Assamese kingdom of Kachari was assisted by British forces in its liberation from Burmese occupation in the Anglo-Burmese War. It makes up part of the larger region of Assam, a strip of land above Bengal comprising the fertile Brahmaputra river valley. The previous king of Kachari, Govinda Chandra Hasnu, has died and is succeeded by an heir friendly to British interests. This heir, Senapati Tularam Thaosen, is willing to give up the throne in exchange for British protection--allowing us to annex Kachari into the East India Company.;;;;;;;;;;;;
assam_puppetted_title;Install Purandar Singha;;;;;;;;;;;;;
assam_puppetted_desc;We would love nothing more than to control all of Assam for its rich farmland and the expansion of Britain's markets in India. The locals, however, do not easily consent to foreign rule. There is a way around this: we could restore native autonomy in the region by installing a king as tributary. The king we have in mind is Purandar Singha, a prince of the Ahom Kingdom. Under our plan, he will be installed as a ruler in Upper Assam, guaranteeing our undisputed dominance in the region without directly governing it.;;;;;;;;;;;;
AGRESSION_HUMILIATE_NO_INFAMY_WAR_NAME_BEL_NET;The 10 Days' Campaign;;;;;;;;;;;;;
NORMAL_HUMILIATE_NO_INFAMY_WAR_NAME_BEL_NET;The 10 Days' Campaign;;;;;;;;;;;;;
AGRESSION_HUMILIATE_NO_INFAMY_WAR_NAME_POL_RUS;The November Uprising;;;;;;;;;;;;;
NORMAL_HUMILIATE_NO_INFAMY_WAR_NAME_POL_RUS;The November Uprising;;;;;;;;;;;;;
ten_days_campaign_title;A Campaign against Belgium;;;;;;;;;;;;;
ten_days_campaign_desc;We are creeping further and further toward losing the Southern Provinces due to the increasingly widespread revolution. The revolutionaries have even coronated their first king, making their nationhood already apparent and their independence seemingly inevitable. This nation-building must halt. We will need to commit as many troops as possible to destroying the revolution. This is all-out war.;;;;;;;;;;;;;
OHWELLDUTCHNVASION;\n\nThe Dutch have crossed into Antwerp province, ready to engage our forces and crush our noble revolution. As of now, they are advancing into the forests around Ravels, and Zondereigen has been taken at the cost of 400 Belgian troops being repelled. These troops are clearly better trained and equipped than our own, and their leadership includes the Prince of Orange himself, eager to see his kingdom's reunification through by any means. We must not resign to possible defeat. Our future lies in our own hands, not the House of Orange's.;;;;;;;;;;;;;
OHWELLDUTCHNVASIONFRA;\n\nThe separatist Kingdom of Belgium requests our support in fighting off the Dutch for independence. Helping them is tempting, as it weakens the Netherlands and allows us to possibly place a new country on our border under our thumbs. Our people will also doubtlessly sympathize with Belgium's Walloons, who speak a Gallo-Romance dialect similar to French and were made our subjects during Napoleon I's rule.;;;;;;;;;;;;;
OHWELLDUTCHNVASIONET;\n\nThe rebels now have French backing. Should we continue our counterrevolution, we will need to contend with possible war with France, which would mean digging a hole for ourselves we may not be able to climb out of. Yet our dream of the Low Countries' unification still burns in our hearts. Is it worth surrendering that righteous dream now?;;;;;;;;;;;;
OHWELLDUTCHNVASIONREPLY;\n\nThe French have accepted our plea for support! We shall charge together at the Dutch menace, humming La Marseillaise as we fire every round in the name of our liberation.;;;;;;;;;;;;;
OHWELLDUTCHNVASIONLESGO;\n\nThe dastardly Dutch would rather flee than face us alongside the French on the battlefield. They have retreated from Belgium and all but surrendered our land to its inevitable liberation!;;;;;;;;;;;;;
OHWELLDUTCHNVASIONLESGOO;\n\nThe Dutch would rather flee than face us on the battlefield. They have retreated from Belgium and all but surrendered her Southern Provinces to their liberation.;;;;;;;;;;;;;
SAM_prov_gov_liberal;Military-Political System of Samos;;;;;;;;;;;;;
samoa_imean_samos_title;Impose Tributary Status on Samos;;;;;;;;;;;;;
samoa_imean_samos_desc;Samos, an archipelago of culturally Greek islands just off the Turkish side of Ionia, did not join Greece after the 1821 revolt, despite having fought against our invasions of the islands. Instead, Samian rebel leader Lykourgos Logothetis declared Samos an independent state that nonetheless would not accept Ottoman suzerainty. Well, words are meaningless if they cannot be backed up on the battlefield.;;;;;;;;;;;;;
GRE_prov_gov_liberal;The Hellenic State;;;;;;;;;;;;;
the_cauca_war_title;The Cauca War;;;;;;;;;;;;;
the_cauca_war_desc;The newly-independent state of Ecuador under conservative president Gabriel García Moreno has become socially unstable. This combined with unsettled border disputes can provide a pretext for military action in the country, in hopes of gaining valuable territories for reuniting the old borders of Gran Colombia.;;;;;;;;;;;;;
pasto_treaty_title;The Treaty of Pasto;;;;;;;;;;;;;
pasto_treaty_desc;Our invasion of Cauca can now end with the signing of a treaty. We shall negotiate the acknowledgment of a border between Colombia and Ecuador along the Carchi River, with the province of Pasto annexed into our territory. With this being our final agreed-upon borders after the dissolution of Gran Colombia, we will no longer have any hostilities with each other and can begin meaningful diplomatic relations.;;;;;;;;;;;;
DAINVASIONTOTHECAUCA;\n\nTroops from $FROM$ have crossed into the Valley of Cauca, presumably looking to start a fight over our disputed northern border. It is no secret that the New Granadans wish to reunite Gran Colombia, whose ashes we emerged from as a free nation. We must prepare our military to respond decisively and turn the tides of this new war.;;;;;;;;;;;;;
LONDONPROTOCOL;\n\nThe Western great powers have convened to recognize the independence of Greece and organize it in their image as a European-style monarchy. They have agreed that Greece's borders shall span from the Cyclades to just below Thessaly, creating a small but regionally significant state friendly to Western Europe's interests in the Mediterranean. However, we will still keep a large majority of ethnically Greek lands, including Epirus, Macedonia, and Thrace, while Egypt will be ceded Crete for helping suppress the revolt there. As for the monarch, the western powers are eyeing Prince Otto of Bavaria as the new King of the Greeks.;;;;;;;;;;;;;
LONDONPROTOCOLYESGRE;\n\nThe Ottoman Empire has agreed to the terms of the London Protocol, a pact between the UK, Russia, and France to recognize our independence and organize our nation into a monarchy. Both the Ottomans and the West agree that our borders shall span from the Cyclades to just below Thessaly, creating a small but regionally significant state that will provide a buffer to Ottoman expansion. However, the Ottomans will still keep a large majority of ethnically Greek lands, including Thessaly, Epirus, Macedonia, and Thrace, while Egypt will be ceded Crete for helping suppress the revolt there. As for the monarch, the western powers are eyeing Prince Otto of Bavaria as the new King of the Greeks.;;;;;;;;;;;;;
LONDONPROTOCOLNOGRE;\n\nThe Ottoman Empire has rejected the terms of the London Protocol, a pact between the UK, Russia, and France to recognize our independence and organize our nation into a monarchy. We had hoped to win our independence by any means, and would have readily accepted the terms despite their generosity to the Ottomans--but now our fight has become all the more dire. The revolution must not die!;;;;;;;;;;;;;
LONDONPROTOCOLNOGPS;\n\nThe Ottoman Empire has rejected the terms of the London Protocol, a pact between the UK, Russia, and France to recognize Greece's independence and organize it into a monarchy. The Greeks had hoped to win their independence by any means, and would have readily accepted the terms despite their generosity to the Ottomans--but now their fight has become all the more dire. As a signatory of the London Protocol, it is our duty to save Greece.;;;;;;;;;;;;;;;;;;;;;;;;;;
LONDONPROTONOGPSTUR;\n\nGreece has rejected the terms of the London Protocol, insisting there is far more land that must be liberated. Foolishly turning their backs on the European great powers willing to sponsor their independence, they have diplomatically isolated themselves, leaving them no worthwhile allies in their futile struggle.;;;;;;;;;;;;;
LONDONPROTOYESBUTNOGPS;\n\nGreece has rejected the terms of the London Protocol, insisting there is far more land that must be liberated. Foolishly turning their backs on the European great powers willing to sponsor their independence, they have diplomatically isolated themselves, leaving them no worthwhile allies.;;;;;;;;;;;;;
KUNMINGQUAKE;\n\nAn earthquake has struck Kunming, Yunnan, bringing catastrophic damage to the provincial capital. 48,888 houses collapsed, while many bridges and temples were reduced to rubble. 6,700 people are confirmed to have been killed.;;;;;;;;;;;;;
spanish_inquisition_title;End the Spanish Inquisition;;;;;;;;;;;;;
spanish_inquisition_desc;§GLose 1 infamy§! The Tribune of the Holy Office of the Inquisition, commonly called the Spanish Inquisition, is the police force responsible for enforcing strict observance of Catholicism in the Spanish Empire. Established at the end of the Reconquista, it oversaw the mass conversion and expulsion of Jews and Muslims from Spain, and since then it has been responsible for enforcing the consolidation of the Spanish crown's rule by ensuring Catholicism unites its disparate subjects. But the Inquisition is not what it used to be. It was temporarily abolished under Joseph Bonaparte's reign and was reinstated by Ferdinand VII in 1814. Liberalism continues to weaken the Inquisition's strength to eradicate Christian heterodoxy. The organization has been reduced to a censorship committee, rarely overseeing prosecutions anymore. Perhaps it is time to disband the Inquisition and bury its legacy in the sand dunes of history.;;;;;;;;;;;;;
BATTLEOFPESHAWAR;\n\nSudden as a lightning strike, Ranjit Singh has conquered Peshawar and made it part of his Sikh Empire. The defenders, separated from our other forces by the Khyber Pass which was blocked by snow, were hard-pressed to ward the attackers off. Though they fought valiantly, due to the lack of reinforcements they were overwhelmed by the Sikh horde and Peshawar quickly fell.;;;;;;;;;;;;;
seize_peshawar_title;Seize Peshawar;;;;;;;;;;;;;
