Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish
accept_lietvaks_desc;Lithuanian Jews, nowdays known as Lietvaks, have been an important part of our nations since the days of Vytautas the Great, whom granted privileges to many Lietvaks communities all across the Grand Duchy and ensured a golden age of Judaism in Lithuania, with it leading to the co-existence of both Orthodox Jews and Karaites inside our borders. That is not to say our relation with our Jewish communities was perfect as Lietvaks suffered both from expulsions and conflicts with the nobility. \n\nDespite that, many Jewish communities prospered under our rule, with our capital, Vilnius, being often known by the moniker "Jerusalem of the North", with Lietvaks such as Vilna Gaon and Mendele Mocher Sforim being important figures in the Jewish world. It would prudent to embrace the Lietvaks, guaranteeing their rights and assuring them they are a respected part of our nation.;;;;;;;;;;;;;
united_with_belarussians;Granted Equal Rights to the White Ruthenians;;;;;;;;;;;;;
break_union_of_lublin_title;Denounce the Union of Lublin;;;;;;;;;;;;;
break_union_of_lublin_desc;§RGain 15 infamy (This will block us from forming the Commonwealth or unite the Baltics!)§! While the Union of Lublin wasn't the first treaty to bring Poland and Lithuania together, with the first being the Union of Krewo, which also established—for the second time—Roman Catholicism as the official religion of Lithuania. Fater the Union of Krewo, many more treaties would deepen the ties between Poland and Lithuania, until the Union of Lublin, which replaced the personal union between both states with a real union, creating the Polish-Lithuanian Commonwealth. \n\nDespite the Union being agreed on by the Lithuanian representatives, the truth is that it was more of a diktat, with Poland seizing the rich lands of Ruthenia after facing resistance from the Polish representatives, forcing them back into the negotiation table, finally accepting the Union of Lublin under the Polish terms. \n\nIf we were to denounce the Union, we would be able to claim the seized Ruthenian territories once again, at the cost of straining our relationship with the Poles.;;;;;;;;;;;;;
duchy_of_livonia_title;Restore the Duchy of Livonia;;;;;;;;;;;;;
duchy_of_livonia_desc;§RGain 4 infamy§! Despite allying with Lithuania at one point—during the period in which Mindaugas had converted to Catholicism—Livonia has long been an enemy of Lithuania. Through most of our early history, the Crusaders of Livonia had difficulted our convertion to Christianity, only so they could continue to conquest our land and seize our homes! But, after the Treaty of Vilnius and the Livonian Wars in 1561 Livonia was divided between the Duchies of Livonia and Courland, with Livonia becoming a vassal of the Grand Duke of Lithuania. \n\nNow, with the restoration of our great nation, it is only natural that we renew this old arrangement, claiming Lithuania as an integral part of our nation, together with the Duchy of Courand.;;;;;;;;;;;;;
unite_with_finland_title;Unite with Finland;;;;;;;;;;;;;
unite_with_finland_desc;Now that Finland is free, the time has come for $COUNTRY$ to join the motherland!;;;;;;;;;;;;;
quebec_act_title;Restore the Quebec Act 1774;;;;;;;;;;;;;
quebec_act_desc;§RGain 15 infamy§! Being one of the leading causes to the American Revolution, the Quebec Act 1774 was an act of the British Parliament that reformed the governance of the Province of Quebec, guaranteeing the free practive of Catholicism and—more importantly—the expansion of Quebec into parts of Upper Canada and the American states of Illinois, Indiana, Michigan, Ohio and Wisconsin. \n\nReaffirming the Quebec Act would for sure anger the Americans, but it would broaden the reach of our ambitions around the Great Lakes region.;;;;;;;;;;;;;
claim_new_galicia_title;Reclaim New Galicia;;;;;;;;;;;;;
claim_new_galicia_desc;§RGain 5 infamy§! The title of King of Galicia-Lodomeria has long been held by the Hungarian kings, with such a title being used by the Habsburg Monarchy to claim the region during the 1st Partition of Poland. But that wasn't the only territory Austria got out of the Partitions of Poland, with New Galicia being awarded to Austria during the 3rd Partition, with the territory being lost to the newly-formed Duchy of Warsaw after the Austrian defeat in the War of the 5th Coalition against Napoleon, with the territory ending up as part of Crogress Poland after the Congress of Vienna. By this point, the Concert of Europe is long gone, allowing us to once again claim these lands as the rightful lords of Galicia-Lodomeria.;;;;;;;;;;;;;
split_prussia_title;Prop up Polish claims to East Prussia;;;;;;;;;;;;;
split_prussia_desc;§RGain 7.5 infamy§! With the restoration of the autonomous Kingdom of Poland, we have restored the Polish claims on our neighbors as well. While pressing these claims was another question entirely, it weakened our neighbor significantly, especially the Prussians, with their eastern possessions being divided with the annexation of Gdansk by the Kingdom of Poland. Now with East Prussia cut off from the mainland, we could let Poland lay claim on East Prussia, further solidifying our position in the Baltics.;;;;;;;;;;;;;
reclaim_transcaspia_title;Reaffirm Transcaspian Claims;;;;;;;;;;;;;
reclaim_transcaspia_desc;§RGain 4-8 infamy depending on if you already claimed Greater Iran and Kurdestan§! While we have always claimed Transcaspia as our territory, it was always a hard region to hold on to. Leading us to leave the region alone as we fought to survive the XIXth century. Now—as our nation finished modernizing and taking its place on the world state—we are ready to reaffirm some of our old claims that went unpressed until now, such as the ones in Transcaspia.;;;;;;;;;;;;;
enforce_central_asia_title;Enforce Central Asian Borders;;;;;;;;;;;;;
enforce_central_asia_desc;With our control over Central Asia established, we need to make sure the borders we drew are enforced! We can't let our control over the region go loose!;;;;;;;;;;;;;
integrate_panjdeh_central_asia_title;Integrate Herat into Central Asia;;;;;;;;;;;;;
integrate_panjdeh_central_asia_desc;With our victory against Afghanistan, we  managed to push the borders of Central Asia further south, seizing the important city of Herat as a result. The region we got from  the Panjdeh Treaty rremains under direct military occupation for now, but preparations are already being made to transfer our gains to our governors in Central Asia, integrating the region into our holdings there. All that is left now is the Tsar's approval for Central Asian troops to move into Northern Afghanistan.;;;;;;;;;;;;;
perp_truce_done;Established the Trucial States;;;;;;;;;;;;;
created_aden_protectorate;Created the Aden Protectorate;;;;;;;;;;;;;
organize_arabia_ENG_title;Control the Arabian Peninsula;;;;;;;;;;;;;
organize_arabia_ENG_desc;§RGain 5 infamy§! Recently, with our recent overtures to Southern Arabia, through Aden and the Trucial States, the region became of great interest to us. While at first the region provided useful coaling stations to our vessels, with the opening of the construction of the Suez Canal, the Arabian Peninsula suddenly became neighbor to one of the most important waterways in the world, not to mention that, on top the newfound importance of the Red Sea to global trade, the Persian Sea and the Indian Ocean were already home to important trade routes which we already greatly benefited from. \n\nThat said, it is clear that expanding our hold over the Arabian Peninsula is of utmost importance, both to enlarge our current holdings and to prevent any trouble coming from the Peninsula. \n\n§R(You have to, on top of establishing and expanding both Aden and the Trucial States, sphere/own all cores of Nedj, Hail, Hedjaz, Najran, Oman and Kuwait!)§!;;;;;;;;;;;;;
organize_arabia_PER_title;Persian Hegemony over Arabia;;;;;;;;;;;;;
organize_arabia_PER_desc;§RGain 10 infamy§! Long departed from the days of its invasions of Persia, Arabia has been reduced to a couple of warring states falling under foreign influences from time to time. Of course, we were quick to take advantage of that fact many times in the past, crossing the Persian Sea and holding land in Eastern Arabia, but these holdings in Arabia were never that permanent, always drifting away from our rule as soon as they had a chance to. \n\nBut now that is about to change. With our recent invasion of Muscat, we have once again a solid holding over Arabia, but that position is disputed currently disputed both by the Arabian tribes and foreign powers. If we were able to hold significant influence over all of Arabia, we could try to leverage the support of the Sharif of Mecca, granting him control over the rest of Arabia, as long as he swears loyalty to us, of course. \n\n§R(You have to, on top of establishing and expanding both Aden and the Trucial States, sphere/own all cores of Nedj, Hail, Hedjaz, Najran)§!;;;;;;;;;;;;;
reclaim_lengeh_title;Reclaim Bandar-e Lengeh;;;;;;;;;;;;;
reclaim_lengeh_desc;§RGain 2.5 infamy§! It has been a long time since our men have been stationed on Bandar-e Lengeh as its rulers. Despíte our rule over the port having long since faded into history, that doesn't mean we didn't try to regain it, but the Sheik of Lengeh and its Qasimi allies have proved to be set on thwarting our attempts at that. But now, after our annexation of neighboring Bandar-e Abbas, annexing Bandar-e Lengeh would consolidate our holdings in Persia. On top of that, with the Qasimi fleet being destroyed and our advances into their Arabian holdings, the Qasimi find themselves in a severely weakened state, which we can't allow the Persians to exploit but would be happy to exploit it ourselves. It is finally time we right the wrongs of history and retake the port from its miserable state.;;;;;;;;;;;;;
sway_laristan_baluchistan_title;Sway Lari and Baluchi tribes;;;;;;;;;;;;;
sway_laristan_baluchistan_desc;§RGain 5 infamy (Pay 75,000¤)§! With the consolidation of our holdings in southern Iran, our focus shift into guaranteeing that our interests in the region are secured. While we have consolidated our gains, we quite safe yet, with some suggesting that the only way to secure our holdings being either connecting Gwadar and Bandar-e Abbas by land, or having a bit of a buffer between our ports and the Qajar border. \n\nLuckily, the Lari and Baluchi tribes present a solution to both propositions at once. Both have been pretty good trade partners to us ever since we established a presence in southern Iran. While it would require a bit of persuasion, but we could try to sway these tribes to join us. The Laris would certainly take quite a bit of "convincing" to joing our cause, but–in contrast—the Baluchis would probably be a bit more open to our overlordship, as long as we keep them safe from the Qajars. \n\nWith both these groups under our thumb, we would be able to not only connect Gwadar and Bandar-e Abbas by land, but also deprive the Qajars from their control over Laristan.;;;;;;;;;;;;;
member_of_the_new_german_confed;The Reformed German Confederation;;;;;;;;;;;;;
member_of_the_new_german_confed_desc;With the Austrian victory in the Bruderkrieg, Germany's only counterweight to Austrian influence was officially defeated, with Prussia being stripped of the its great power status. While the German states were effectively puppets of both Austria and Prussia, with the Prussian defeat, the Austrian influence over the German states now lies unopposed, with Austrian having reformed the Federal Convention in Frankfurt, allowing them to use it to control the German states through this new German Confederation and declare themselves Emperors of Germany. \n\nWhile the German states still hold varying degrees of autonomy, the Federal Convention in Frankfurt still holds the authority to impose legislation over all members of the Confederation, being able to overrule local laws and reserving the right to legislate about specific matters, with the members of the Confederation having to pay taxes to the Federal Convention in Frankfurt for the maintainance of the Federal City of Frankfurt, the Federal Army and the Reichsflotte. The Federal Convetion was used to curtail our liberty and make us answer to the Austrian Emperor, on top of being subject to further diktats from Vienna.;;;;;;;;;;;;;
austria_new_german_confed;Emperor of Germany;;;;;;;;;;;;;
austria_new_german_confed_desc;Our victory in the Bruderkrieg gave us total hegemony over Germany. With Prussia knocked out of their great power status, nobody can oppose us in Germany anymore. Because of that, we were free to reform the German Confederation to not only claim the title of Emperor of Germany but to use the Federal Convention in Frankfurt to control the other German states as well—confirming their status as our puppets. \n\nWhile the German states still hold varying degrees of autonomy, the Federal Convention in Frankfurt still holds the authority to impose legislation over all members of the Confederation, being able to overrule local laws and reserving the right to legislate about specific matters, with the members of the Confederation having to pay taxes to the Federal Convention in Frankfurt for the maintainance of the Federal City of Frankfurt, the Federal Army and the Reichsflotte, but we are excluded for such taxes, of course.;;;;;;;;;;;;;
german_occupation;German Occupation;;;;;;;;;;;;;
german_occupation_desc;When Prussia was defeated, the Hohenzollerns were expelled from their holdings in Brandenburg, being forced to live in exile in Königsberg. Brandenburg became an "independent" state inside of the German Confederation under the tutelage of Austria, of course. \n\nWe can't say that such transition came easy however. We can't deny that some of our government wasn't quite sold on the idea of Austrian Hegemony over Germany, and it seems that Vienna caught on to that. \n\nA while ago, the Austrian monarch—now Emperor of Germany—came into the Federal Convention revealing the existence of a plot inside of our government seeking to return to Hohenzollern rule. While we can't be sure if such plot was real or not, it lead the Federal Convention to call for an joint Austro-Saxon occupation of our state, leading us to be firmly under the Austrian thumb from now own.;;;;;;;;;;;;;
ger_federal_convention;The Seat of the German Federal Convention;;;;;;;;;;;;;
ger_federal_convention_desc;Second only to Vienna (and Berlin before Prussia's defeat), Frankfurt is one of the most important cities in Germany. As a center of German culture, Frankfurt was the seat of the Federal Convention and the capital of the German Confederation ever since the Congress of Vienna. That didn't change with the Austrian victory in the Bruderkrieg—on the contrary—Frankfurt became pivotal to Austria's plans to control the German Confederation. \n\nAustria has, in practice, reformed the German Confederation, effectively turning the Federal Convention into its puppet and being able to use it to control the other German states. Now, as the Federal City of Frankfurt, we are the formal capital of the new and reformed German Confederation, complicit in Vienna's diktats to the German world, having crowned the Austrian Emperor as the Emperor of Germany in exchange for collecting taxes on our fellow German states.;;;;;;;;;;;;;
reichsflotte;Home of the Reichsflotte;;;;;;;;;;;;;
oust_riveira_desc;While Riveira appointed Oribe as his successor, he remained in charge of the armed forces of Uruguay for a while. But, as one of the 33 Orientals, Oribe loyalty to Riveira is fragile at best, with some pointing out that both men have been rivals ever since the days of Artigas. With Oribe's ascension to power, friction between the two man began to appear, with Oribe soon deciding to take away Riveira's position at the command of the Uruguayan Army and pardon Lavalleja for his attempts against Riveira's life and government.;;;;;;;;;;;;; 
oust_riveira_title;Oust Riveira;;;;;;;;;;;;;
URU_conservative_0;Lavallejistas;;;;;;;;;;;;;
URU_liberal_0;Riveiristas;;;;;;;;;;;;;
incite_corrientes_title;Support the Unitarians in Corrientes;;;;;;;;;;;;;
incite_corrientes_desc;For a long time, two projects of country divided Argentina. Unitarianists or Unitarians were the proponents of the concept of a Unitary state (centralized government) in Buenos Aires and they were led by  Juan Lavalle. They were opposed to the Argentine Federalists, who wanted a federation of independent provinces, led by Juan Manuel de Rosas. The Unitarians, sympathetic to our government, fled Argentina in exile after being defeated in 1831. Rosas, the so called Restorer of the Laws, controlled the Argentine Confederation for too long under his despotic rule. Now, our friends in Uruguay defeated the Blancos and promise to support us if we were to fight the Federalists to end Rosas despotic ruler.;;;;;;;;;;;;;
send_varela_title;Send Varela to Europe;;;;;;;;;;;;;
send_varela_desc;§RVarela will be assassinated in march 1848, so be sure to take this decision before that!§! The Unitarians during the Big War counted not only with the support of Uruguay but also limited Anglo-French support. While both nations couldn't wage direct war with Rosas without allies to the ground, we could send Florencio Varela to negotiate with France and Britain for support, with the permission to take desperate measures if needed.;;;;;;;;;;;;;
urquiza_proclamation_desc;On May 1st, 1851, General and Governor Justo José de Urquiza, unsatisfied with the lack of the return of the trade-primacy of Buenos Aires after the end of the Anglo-French Blockade and Rosas lack of a proper constitution for the Argentine Confederation decreed the Urquiza's Statement, on which he formally accepted Rosas resignation—which he applied for every year, knowing his resignation as foreign relations minister would be rejected—declaring the effective independence of the Province of Entre Rios until a proper General Assembly for the writing of a constitution was called. \n\nUrquiza's Statement was supported by his political pupil Benjamín Virasoro—Governor of Corrientes—which until now was considered one of Rosas' partisans. Rosas, in the other hand, naturally rejected the statement.;;;;;;;;;;;;;
urquiza_proclamation_title;Urquiza's Statement;;;;;;;;;;;;;
taboada_alliance;Taboada's Alliance;;;;;;;;;;;;;
unitarian_federal_clashes;Unitarian-Federal Clashes;;;;;;;;;;;;;
league_of_the_free_peoples_desc;§RGain 5 infamy§! Between foreign and personal interests, to some degree, Entre Rios independence from the Argentine Confederation was founded on bases of the wish to uphold the ideals of Federalism. To reinforce our place as the bastion of "True Federalism", we could—to some degree—claim to be the true successor to the League of the Free Peoples, the state that—under José Gervasio Artigas—gave birth to the Federalist movement in Argentina. Doing so would put us at odds with our old allies, which now occupy territory which was once part of the League and would also rekindle our hostilities with Buenos Aires, which not only may still claim to be successors to the League, but also hold the Province of Córdoba, which was also part of the League to some degree.;;;;;;;;;;;;;
league_of_the_free_peoples_title;Claim the Mantle of the League of the Free Peoples;;;;;;;;;;;;;
juliana_connection_title;Legacy of the Juliana Republic;;;;;;;;;;;;;
juliana_connection_desc;§RGain 5 infamy§! With the birth of the Uruguayan Federation and the integration of the Gauchos from Rio Grande do Sul, the old ties between Uruguay and the local population have been rekindled. Despite the differences between us and the local population, we faced a lot of sympathetic sentiment in the region, with some like-minded even offering to pull some strings to find support across the northern border, in Santa Catarina, to try and give us a chance to claim the region. Santa Catarina was once occupied by the Rio-grandense Republic during the Ragamuffin War, with the Juliana Republic being established. With support from the Farrapos in Rio Grande do Sul, we could claim the region and shorten our border with Brazil significantly.;;;;;;;;;;;;;
reinvade_paraguay_title;End Paraguay's Independence;;;;;;;;;;;;;
reinvade_paraguay_desc;§RGain 10 infamy§! During the Platine Wars of Independence, Paraguay's fate stood on the edge of a knife. At the start, during the First Junta of Buenos Aires, Manuel Belgrano tried to invade Paraguay to liberate it from Royalist forces. Not only Belgrano in that task but Artigas also tried to incorporate Paraguay in the League of the Free Peoples, an prospect that also found no success. With both failed attempts on the conquest of Paraguay by Platine forces, the country's independence was secured. But now—as we carry the mantle of the League of the Free Peoples—Paraguay stands as the only country—besides us—between Argentina and Brazil. Thus, conquering it would not only avenge Artigas' attempt, but also become a stronger buffer between the two giants that border us.;;;;;;;;;;;;;
become_BAB_CRT_title;The Tower of Babel;La tour de Babel;Der Turm von Babylon;;La Torre de Babel;;;;;;;;;
become_BAB_CRT_desc;Very little progress has been made in the past few thousand years on that greatest of all building projects initiated by our proud ancestors. With Mesopotamia's recent ascent to power and standing in the world, there is some talk... though all talk has been strangely hard to understand lately... of starting the project back up again! With modern technology, who knows what wonders could be accomplished?;Au cours des derniers millénaires, très peu de progrès ont été faits sur le plus grand projet de construction initié par nos illustres ancêtres. Avec la montée en puissance récente et la nouvelle place dans le concert des nation de l'Iraq, on parle - même si récemment, le discourt s'est fait incompréhensible - de relancer le projet ! Avec la technologie moderne, qui sait quelles merveilles pourraient être accomplies ?;Im Laufe der letzten Jahrtausende wurden beim größten aller Bauprojekte, begonnen von unseren stolzen Vorfahren, kaum noch Fortschritte erzielt. Durch den kürzlichen Aufstieg des Iraks zu Macht und Ansehen in der Welt gibt es Gespräche ... die in letzter Zeit merkwürdigerweise nur schwer zu verstehen waren ... das Projekt wieder aufzunehmen! Welche Wunder wohl durch den Einsatz moderner Technologie möglich wären?;;En los últimos milenios apenas se han hecho progresos en el mayor de los proyectos de construcción iniciado por nuestros orgullosos antepasados. ¡Con el reciente ascenso de Irak en el concierto de las naciones, cada vez más voces (aunque cada vez más confusas, también es cierto) hablan de reiniciar el proyecto! Con la tecnología moderna, ¿quién sabe qué maravillas se podrían alcanzar?;;;;;;;;;
oribe_repaying_the_favor_title;Repaying the favor;;;;;;;;;;;;;
oribe_repaying_the_favor_desc;When Rivera—with help from his Anglo-French backers—deposed Oribe, Rosas was the man which not only hosted Oribe in exile, but also went to war to restore Oribe to the Uruguayan presidency. Now, as Oribe sits at the head of the Uruguayan politics once again, Rosas is facing problems back home, with the governor of Entre Rios—José Justo de Urquiza—revolting against him. It is about time we return the favor and help Rosas against this insurgency.;;;;;;;;;;;;;
rosas_dead;The Death of Rosas;;;;;;;;;;;;;
commission_angelis_constitution_title;Implement Angelis' Constitution;;;;;;;;;;;;;
commission_angelis_constitution_desc;The traitor José Justo de Urquiza once commissioned journalist and historian Pedro de Angelis a constitution. While Urquiza was defeated by our great leader Rosas, the constitutional project went ahead, with the finished 135-long constitution being published in Angelis' journal in Buenos Aires. Rosas—at first—personally wasn't very keen on Angelis and his work, but with time our great leader approached Angelis personally to publish some intellectual projects of his government, creating a bridge between the two men. \n\nWith Rosismo evolving and Rosas' health starting to fade, it may be for the best that—instead of relying on Rosas' son to carry his regime on—we commission Angelis' constitution to be sanctioned as the official constitution of the Argentine Confederation.;;;;;;;;;;;;;
province_of_paraguay_title;Cut Negotiations with Paraguay;;;;;;;;;;;;;
province_of_paraguay_desc;§RGain 10 infamy§! "Relations with the Province of Paraguay, which have been severed for many years, will be definitively restored by the first Legislative Congress that meets after the present Constitution is sworn in." — These are the exact words in Angelis' Constitution. While vague, Angelis confessed—at a later date—to including it as a path to reintegrate Paraguay into the Confederation. Paraguay has long been a great reason of shame and a thorn in our side, with its dictator—Carlos Antonio López—having supported both the Unitarians in Corrientes and the traitors under Urquiza. But—following Angelis draft—we have established negotiations with Asunción which have yet to be fruitful. Maybe it is about time we cut off our relations with Paraguay and end their independence once and for all.;;;;;;;;;;;;;
unite_with_argentina_title:Unite with the Argentina;;;;;;;;;;;;;
unite_with_argentina_desc;Our old disputes with the Federalist Party led to our secession from the old Argentine Confederation. With the fall of the Federalist government, the Unitarians took over Argentina, destroying the old confederation and declared the creation of the Argentinian Republic, which closely alligns with our ideals. Perhaps now it's time we finally rejoin Buenos Aires...;;;;;;;;;;;;;
EVTDESC600132;\n\nA_new_governor_has_been_appointed_to_head_$COUNTRY$_for_our_overlords.;;;;;;;;;;;;;
andresito_cultures_title;The Rights of the First Peoples;;;;;;;;;;;;;
andresito_cultures_desc;While we can't say the Federalist Party is ideologically aligned with the idea of indigenous rights, our ideology and political structure always favored great cooperation with the local indigenous peoples. Artigas was the first to do so, with his policies and networks reaching the indigenous peoples. Besides that, as the Federalist model favored local power, Federalist caudillos were quick to use the local natives to their advantage, not to mention that nods to the native population weren't an exclusive Federalist phenomenon, with the declaration of independence by the Congress of Tucumán being published in Spanish, Quechua and Aimara.;;;;;;;;;;;;;
rivera_won;Uruguay owes us a favor;;;;;;;;;;;;;
paternalistic_totalitarism;Paternal Totalitarianism;;;;;;;;;;;;;
paternalistic_totalitarism_desc;Our great leader holds total authority over the society and seeks to control all aspects of public and private life wherever possible, seeing himself as a "benevolent dictator" and a father to our people. He reaches so far as to dictate how people dress and carry themselves, plastering the symbols of the regime all over the country. In contrast, anyone opposed to his absolute authority is forced into hiding, or faces punishment in prison or even is made an example by our leader's agents. The entire population is, willingly or unwillingly, conscripted to serve our leader's priorities and subject to his whims.;;;;;;;;;;;;;
help_urquiza;Helping Urquiza;;;;;;;;;;;;;
lost_buenos_aires;The Loss of Buenos Aires;;;;;;;;;;;;;
lost_buenos_aires_desc;With the revolt in Buenos Aires following Rosas being overthrown, we have been left in a precarious position. We have lost the country's most important port and our coffers are running drier from the loss of its revenue, hindering our ability to muster large armies for prolonged periods of time.;;;;;;;;;;;;;
stay_away_buenos_aires_title;A Capital for the Confederation;;;;;;;;;;;;;
stay_away_buenos_aires_desc;Until now, Paraná has been the Federal capital of the Argentine Confederation ever since Rosas was deposed and Buenos Aires broke away from us. But now, with the matter of Buenos Aires dealt with, it is finally time we decide on a definitive capital for the Argentine Confederation, lest the savages in Buenos Aires find a way to let their city be our capital once again.;;;;;;;;;;;;;
ARC_reactionary_0;Partido Federal (Apostólicos);;;;;;;;;;;;;
ARC_conservative_0;Partido Federal (Doctrinarios);;;;;;;;;;;;;
positivist_oligarchy;Positivist Oligarchy;;;;;;;;;;;;;
positivist_oligarchy_desc;Our country is currently ruled by a governmental and intellectual elite of positivist oligarchs that are bent on staying on power by any means necessary—while keeping the guise of a democratic government, of course.;;;;;;;;;;;;;
generation_80;Generación del '80;;;;;;;;;;;;;
EVTDESC600167;\n\nThe_separation_of_the_Litoral_from_Argentina_was_controversial,_for_sure._But_it_was_a_necessary_measure_against_Rosas_Totalitarianism._Now,_with_Rosas_gone_there_is_nothing_in_the_way_of_reunifying_our_two_nations,_especially_if_the_democratic_advancements_from_the_Litoral_are_implemented_in_the_rest_of_the_country.;;;;;;;;;;;;;
cuzco_protectorate_title;The South Peruvian Protectorate;;;;;;;;;;;;;
cuzco_protectorate_desc;§RGain 2.5-5 infamy, depending on if you or your puppet own Cusco!§! Despite the shifting economic and political developments since independence, South Peru stills remains connected to Bolivia in one way or another. This connection has long been the a point of contention between Peru and Bolivia, even leading to Santa Cruz's Peru-Bolivian Confederation at one point, but before that, the connection between South Peru and Bolivia—in face of the independence war and concerns over Lima's stability—pushed one of our heroes, San Martín, into considering the possibility of an autonomous South Peruvian protectorate, under Platine—or Chilean—supervision. While the days of our independence war are long over, with our growing dominance over South Andean affair, we could try to use such plans to our advantage and detach South Peru from Lima, strengthening its connections to old Bolivia, allowing us to expand our great state and placate the people of Alto Peru.;;;;;;;;;;;;;
jose_de_san_martin;José de San Martín;;;;;;;;;;;;;
jose_de_san_martin_desc;Despite his old age, the return of San Martín was met with joy by most of the Argentine Confederation. The hero has since returned to military service and even if his role is limited due to his advancing age, his mere presence is enough to raise our morale and increase our prestige in the region!;;;;;;;;;;;;;
legacy_of_san_martin_title;The Legacy of San Martín;;;;;;;;;;;;;
legacy_of_san_martin_desc;§RGain 5 infamy§! Argentina has many heros, but they all pale in comparison to San Martín. The legacy of the Father of the Fatherland is felt even beyond our borders, with our hero even being a revered figure in Chile and Peru, besides O'Higgins and Bolívar respectively. \n\nNow that we became a stable great power in the Southern Cone, it is only natural we consider how his legacy could be used to influence the other nations on which he is celebrated.;;;;;;;;;;;;;
local_economic_upturn;Local Economic Upturn;;;;;;;;;;;;;
chilean_sister_republic_title;The Sister Republic Across the Andes;;;;;;;;;;;;;
chilean_sister_republic_desc;§RGain 7.5 infamy§! With the failure of the Army of the North, San Martín—correctly—determined that securing Chilean independence would be pivotal to secure Platine independence in the face of the failures in Alto Peru. His plans would come to fruition with the Army of the Andes and the Chilean Declaration of Independence following the Battle of Maipú. While our relations were friendly—with our armies fighting together against the Peru-Bolivian Confederation—disputes would slowly surface over our borders in Patagonia the Andes, leading to a falling out between our two nations. Our newly announced ambitions served only to grow the rift between our nations further, leaving us no choice but to turn their worse fears into reality and leave clear our intention to force them into our beautiful union.;;;;;;;;;;;;;
national_mint;National Mint;;;;;;;;;;;;;
LPL_claims_Peru_title;Dominate Lima;;;;;;;;;;;;;
LPL_claims_Peru_desc;§RGain 5-15 infamy§! When San Martín liberated Peru, he worried that the Liman elites would impose their will on the rest of the country and, whether this happened or not, we used it to justify our take over of South Peru and—now that South Peru has been dealt with—our next objetive lies in completely dominating Lima and the rest of Peru, with the hopes of preparing it for a future union between our nations.;;;;;;;;;;;;;
the_hostile_interior;The Hostile Interior;;;;;;;;;;;;;
subdue_the_interior_title;Subdue the Interior;;;;;;;;;;;;;
subdue_the_interior_desc;To Unitarism, the Interior is a hassle—a savage land of uncivilized natives, unruly gauchos and despotic caudillos. Our control over the Interior is weak, with our appointed governors west of Córdoba having a hard time not being toppled by local rivals and Federalist revolts. While we can keep supressing the Interior, it is clear that having to do so only depletes our resources and leaves us open to being toppled by the Federalists once again. \n\nIf we are to finally subdue the Savage Interior, we need to not only modernize our administration of the territory, but also reform our military structure so charismatic tyrants can't threaten our governors with the help of militant gauchos anymore.;;;;;;;;;;;;; 
ARG_conservative_0;Partido Unitario (Rivadavistas);;;;;;;;;;;;;
ARG_liberal_0;Partido Unitario (Liberales);;;;;;;;;;;;;
ARG_reactionary_0;Partido Federal;;;;;;;;;;;;;
invest_south_andes_title;Invest in the Southern Andes;;;;;;;;;;;;;
invest_south_andes_desc;With our recent conquest of Alto Peru, we are met with a challenge. Alto Peru—nowdays known as Bolivia—was always meant to be part of Argentina, but due to the Army of the North's failture to liberate the region, the region would end up becoming its own nation which—much to our dismay—ended up enacting a policy of trying to distance itself from us. While we now control Alto Peru for the first time since our independence, the damage is already done, as we now need to invest in the the local population so that they see that we are kin and meant to fight side-by-side as brothers for $COUNTRY$!;;;;;;;;;;;;;
integrate_south_andes_title;Accept South Andeans;;;;;;;;;;;;;
integrate_south_andes_desc;Ever since the first days of our independence, many had a vision of Alto Peru—also known as Bolivia—being part of our nation. Sadly, now this vision has come into fruition, it became clear the the people of Alto Peru hardly have accepted the fact that they are now a part of our nation. Luckily—with some nice gestures showing our commitment to them—we can reintegrate them and teach their place in our great nation.;;;;;;;;;;;;;
1816_inca_plan_title;Revive 1816 Inca Plan;;;;;;;;;;;;;
1816_inca_plan_desc;§RGain 24.99 infamy§! In 1816, in the wake of Argentinian Independence, Manuel Belgrano proposed that not only La Plata, Chile and Peru should unite under single nation, but also that—to gather recognition from the European powers—such a nation should crown a monarch, an Inca monarch to be more precise. Now that we went through with such plans to crown an Inca King, it is about time that we seize our position as a rising power to declare the need to realize the 1816 Inca Plan and unite most of Hispanic South America under our great monarchy!;;;;;;;;;;;;;
force_isfandiyar_khan_title;Force Isfandiyar Khan to publish the Young Khivans Manifesto;;;;;;;;;;;;;
force_isfandiyar_khan_desc;With the recent wave of revolts and revolutionary movements across Central Asia and especially Khiva, the Young Khivans have the perfect opportunity to force Isfandiyar Khan into signing a manifesto establishing a legislative Majlis and put prominent Young Khivan Bobohun Salimov as its chairman. Despite the Khan being bound to accept, as a conservative we know that he won't be happy with the arrangement and will look for a way of undermining the Young Khivans to recover his power.;;;;;;;;;;;;;
betray_rivera_title;Unitarian-Colorado Brotherhood;;;;;;;;;;;;;
